event_key,season,fold_id,current_season_prior_events,prior_candidate_folds,prior_candidate_predictions,aligned_prior_folds,aligned_prior_rows,prior_uniform_mae,prior_weighted_mae,prior_improvement_sec,history_event_keys,dropped_candidate_rows,dropped_default_rows,history_eligible,all_gates_pass,selected_policy,selection_reason,history_scope_gate,history_scope_reason,gate_checkpoint,gate_checkpoint_observed,gate_checkpoint_required,gate_checkpoint_reason,gate_candidate_available,gate_candidate_available_observed,gate_candidate_available_required,gate_candidate_available_reason,gate_current_season,gate_current_season_observed,gate_current_season_required,gate_current_season_reason,gate_prior_folds,gate_prior_folds_observed,gate_prior_folds_required,gate_prior_folds_reason,gate_prior_predictions,gate_prior_predictions_observed,gate_prior_predictions_required,gate_prior_predictions_reason,gate_aligned_folds,gate_aligned_folds_observed,gate_aligned_folds_required,gate_aligned_folds_reason,gate_aligned_rows,gate_aligned_rows_observed,gate_aligned_rows_required,gate_aligned_rows_reason,gate_finite_metrics,gate_finite_metrics_observed,gate_finite_metrics_required,gate_finite_metrics_reason,gate_margin,gate_margin_observed,gate_margin_required,gate_margin_reason,test_season,is_evaluation_event,forecast_hash
2023/barcelona,2023,6,5,0,0,0,0,,,,[],0,0,False,False,uniform,insufficient_candidate_history,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,5,5,pass,False,0,5,missing_or_below_requirement,False,0,100,missing_or_below_requirement,False,0,5,missing_or_below_requirement,False,0,100,missing_or_below_requirement,False,False,True,missing_or_below_requirement,False,,0.05,missing_or_below_requirement,2024,False,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2023/montreal,2023,7,6,1,20,1,20,0.46170115770865133,0.46170115770865133,0.0,"[""2023/barcelona""]",0,0,False,False,uniform,insufficient_candidate_history,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,6,5,pass,False,1,5,missing_or_below_requirement,False,20,100,missing_or_below_requirement,False,1,5,missing_or_below_requirement,False,20,100,missing_or_below_requirement,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2023/silverstone,2023,8,7,2,40,2,40,0.9298125812272502,0.9298125812272502,0.0,"[""2023/barcelona"", ""2023/montreal""]",0,0,False,False,uniform,insufficient_candidate_history,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,7,5,pass,False,2,5,missing_or_below_requirement,False,40,100,missing_or_below_requirement,False,2,5,missing_or_below_requirement,False,40,100,missing_or_below_requirement,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2023/budapest,2023,9,8,3,60,3,60,0.9944068385548176,0.9944068385548176,0.0,"[""2023/barcelona"", ""2023/montreal"", ""2023/silverstone""]",0,0,False,False,uniform,insufficient_candidate_history,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,8,5,pass,False,3,5,missing_or_below_requirement,False,60,100,missing_or_below_requirement,False,3,5,missing_or_below_requirement,False,60,100,missing_or_below_requirement,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2023/zandvoort,2023,10,9,4,80,4,80,0.9219390359758458,0.9219390359758458,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/montreal"", ""2023/silverstone""]",0,0,False,False,uniform,insufficient_candidate_history,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,9,5,pass,False,4,5,missing_or_below_requirement,False,80,100,missing_or_below_requirement,False,4,5,missing_or_below_requirement,False,80,100,missing_or_below_requirement,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2023/monza,2023,11,10,5,100,5,100,1.715057473337959,1.715057473337959,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/montreal"", ""2023/silverstone"", ""2023/zandvoort""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,10,5,pass,True,5,5,pass,True,100,100,pass,True,5,5,pass,True,100,100,pass,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2023/marina-bay,2023,12,11,6,120,6,120,1.5132576216788358,1.5132576216788358,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/zandvoort""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,11,5,pass,True,6,5,pass,True,120,100,pass,True,6,5,pass,True,120,100,pass,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2023/suzuka,2023,13,12,7,140,7,140,1.368023350531696,1.368023350531696,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/zandvoort""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,12,5,pass,True,7,5,pass,True,140,100,pass,True,7,5,pass,True,140,100,pass,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2023/yas-island,2023,14,13,8,159,8,159,1.2435769512346329,1.2435769512346329,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/zandvoort""]",0,0,True,False,uniform,margin_not_met,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,True,13,5,pass,True,8,5,pass,True,159,100,pass,True,8,5,pass,True,159,100,pass,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,False,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024/sakhir,2024,15,0,9,179,9,179,1.147787288183857,1.147787288183857,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort""]",0,0,False,False,uniform,cold_start,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,False,0,5,missing_or_below_requirement,True,9,5,pass,True,179,100,pass,True,9,5,pass,True,179,100,pass,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,True,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024/melbourne,2024,16,1,10,199,10,199,1.0570145916762326,1.0570145916762326,0.0,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/sakhir""]",0,0,False,False,uniform,cold_start,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,False,1,5,missing_or_below_requirement,True,10,5,pass,True,199,100,pass,True,10,5,pass,True,199,100,pass,True,True,True,pass,False,0.0,0.05,missing_or_below_requirement,2024,True,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024/suzuka,2024,17,2,11,218,11,218,0.9902526855061661,0.9879195276306576,0.0023331578755084736,"[""2023/barcelona"", ""2023/budapest"", ""2023/marina-bay"", ""2023/montreal"", ""2023/monza"", ""2023/silverstone"", ""2023/suzuka"", ""2023/yas-island"", ""2023/zandvoort"", ""2024/melbourne"", ""2024/sakhir""]",0,0,False,False,uniform,cold_start,True,strictly_prior_and_settled,True,after_fp3,after_fp3,pass,True,True,True,pass,False,2,5,missing_or_below_requirement,True,11,5,pass,True,218,100,pass,True,11,5,pass,True,218,100,pass,True,True,True,pass,False,0.0023331578755084736,0.05,missing_or_below_requirement,2024,True,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
