test_season,event_key,step,stage_index,stage,forecast_hash
2024,2023/barcelona,6,0,legal_information_frozen,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2024,2023/barcelona,6,1,both_candidates_fitted,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2024,2023/barcelona,6,2,shadows_frozen,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2024,2023/barcelona,6,3,prior_gates_evaluated,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2024,2023/barcelona,6,4,selected_forecast_frozen,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2024,2023/barcelona,6,5,outcome_revealed,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2024,2023/barcelona,6,6,settled_for_next_event,f2fbc82313bf01b4d7bfaf13f349bbcbcbd7bfc623276c48a4d8fa22a0c7fc5e
2024,2023/montreal,7,0,legal_information_frozen,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2024,2023/montreal,7,1,both_candidates_fitted,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2024,2023/montreal,7,2,shadows_frozen,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2024,2023/montreal,7,3,prior_gates_evaluated,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2024,2023/montreal,7,4,selected_forecast_frozen,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2024,2023/montreal,7,5,outcome_revealed,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2024,2023/montreal,7,6,settled_for_next_event,884068d7c1c84e66b4cdc644d1a0b27186dfc1a631aa068f656357cda978736a
2024,2023/silverstone,8,0,legal_information_frozen,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2024,2023/silverstone,8,1,both_candidates_fitted,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2024,2023/silverstone,8,2,shadows_frozen,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2024,2023/silverstone,8,3,prior_gates_evaluated,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2024,2023/silverstone,8,4,selected_forecast_frozen,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2024,2023/silverstone,8,5,outcome_revealed,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2024,2023/silverstone,8,6,settled_for_next_event,03914d2577f034fed7ef3896060caa470d612ec5ba72f3a6f30d94fd4fe9327e
2024,2023/budapest,9,0,legal_information_frozen,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2024,2023/budapest,9,1,both_candidates_fitted,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2024,2023/budapest,9,2,shadows_frozen,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2024,2023/budapest,9,3,prior_gates_evaluated,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2024,2023/budapest,9,4,selected_forecast_frozen,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2024,2023/budapest,9,5,outcome_revealed,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2024,2023/budapest,9,6,settled_for_next_event,d2a6c0c8835b7852604a7487af61bb2732204dfbd64b7d6163d0aab992334011
2024,2023/zandvoort,10,0,legal_information_frozen,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2024,2023/zandvoort,10,1,both_candidates_fitted,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2024,2023/zandvoort,10,2,shadows_frozen,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2024,2023/zandvoort,10,3,prior_gates_evaluated,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2024,2023/zandvoort,10,4,selected_forecast_frozen,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2024,2023/zandvoort,10,5,outcome_revealed,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2024,2023/zandvoort,10,6,settled_for_next_event,b10bfebaea60c7055ee173365ebee1aaf1f3eb7040f8df9aa3423f9661cfb068
2024,2023/monza,11,0,legal_information_frozen,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2024,2023/monza,11,1,both_candidates_fitted,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2024,2023/monza,11,2,shadows_frozen,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2024,2023/monza,11,3,prior_gates_evaluated,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2024,2023/monza,11,4,selected_forecast_frozen,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2024,2023/monza,11,5,outcome_revealed,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2024,2023/monza,11,6,settled_for_next_event,e40a7ae9ec59edd975ba8f39a46ab4bf3c24a4f2d7da73c2c93db412eeaedc3c
2024,2023/marina-bay,12,0,legal_information_frozen,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2024,2023/marina-bay,12,1,both_candidates_fitted,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2024,2023/marina-bay,12,2,shadows_frozen,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2024,2023/marina-bay,12,3,prior_gates_evaluated,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2024,2023/marina-bay,12,4,selected_forecast_frozen,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2024,2023/marina-bay,12,5,outcome_revealed,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2024,2023/marina-bay,12,6,settled_for_next_event,bd370f6244afc0525899103d17d2934855cfa6fda3eaa24b74d7993d8d0c7207
2024,2023/suzuka,13,0,legal_information_frozen,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2024,2023/suzuka,13,1,both_candidates_fitted,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2024,2023/suzuka,13,2,shadows_frozen,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2024,2023/suzuka,13,3,prior_gates_evaluated,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2024,2023/suzuka,13,4,selected_forecast_frozen,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2024,2023/suzuka,13,5,outcome_revealed,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2024,2023/suzuka,13,6,settled_for_next_event,dcba8749713cc4efbc493bf46de96e1bbccea1e4ffe172684d62d0510469b312
2024,2023/yas-island,14,0,legal_information_frozen,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024,2023/yas-island,14,1,both_candidates_fitted,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024,2023/yas-island,14,2,shadows_frozen,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024,2023/yas-island,14,3,prior_gates_evaluated,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024,2023/yas-island,14,4,selected_forecast_frozen,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024,2023/yas-island,14,5,outcome_revealed,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024,2023/yas-island,14,6,settled_for_next_event,ac26505bfeeec0468b0219c244223daf22361255f322d97643142318466c0945
2024,2024/sakhir,15,0,legal_information_frozen,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024,2024/sakhir,15,1,both_candidates_fitted,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024,2024/sakhir,15,2,shadows_frozen,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024,2024/sakhir,15,3,prior_gates_evaluated,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024,2024/sakhir,15,4,selected_forecast_frozen,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024,2024/sakhir,15,5,outcome_revealed,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024,2024/sakhir,15,6,settled_for_next_event,70fc74b18290953919576ab81b3656f25d3229e43378e2dce6981c5108978eef
2024,2024/melbourne,16,0,legal_information_frozen,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024,2024/melbourne,16,1,both_candidates_fitted,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024,2024/melbourne,16,2,shadows_frozen,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024,2024/melbourne,16,3,prior_gates_evaluated,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024,2024/melbourne,16,4,selected_forecast_frozen,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024,2024/melbourne,16,5,outcome_revealed,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024,2024/melbourne,16,6,settled_for_next_event,d033fef3e44bee870212c56db68a1e212a4449fdae96e7b80f0a103c1d01eeae
2024,2024/suzuka,17,0,legal_information_frozen,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024,2024/suzuka,17,1,both_candidates_fitted,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024,2024/suzuka,17,2,shadows_frozen,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024,2024/suzuka,17,3,prior_gates_evaluated,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024,2024/suzuka,17,4,selected_forecast_frozen,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024,2024/suzuka,17,5,outcome_revealed,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024,2024/suzuka,17,6,settled_for_next_event,5d64c0d2b40d5337dc4f728943f81d0debf1c66359f2883d3c60865e19cb6343
2024,2024/imola,18,0,legal_information_frozen,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024,2024/imola,18,1,both_candidates_fitted,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024,2024/imola,18,2,shadows_frozen,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024,2024/imola,18,3,prior_gates_evaluated,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024,2024/imola,18,4,selected_forecast_frozen,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024,2024/imola,18,5,outcome_revealed,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024,2024/imola,18,6,settled_for_next_event,67100d5ed5c9451e38c9197166c4cc3d2b50c734dba5e02f6c18c4093a86d871
2024,2024/monaco,19,0,legal_information_frozen,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024,2024/monaco,19,1,both_candidates_fitted,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024,2024/monaco,19,2,shadows_frozen,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024,2024/monaco,19,3,prior_gates_evaluated,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024,2024/monaco,19,4,selected_forecast_frozen,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024,2024/monaco,19,5,outcome_revealed,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024,2024/monaco,19,6,settled_for_next_event,3097c87b5320ff94e4027b1a11562593808b80ecf33b9af4e655f0ab928f096e
2024,2024/montreal,20,0,legal_information_frozen,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024,2024/montreal,20,1,both_candidates_fitted,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024,2024/montreal,20,2,shadows_frozen,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024,2024/montreal,20,3,prior_gates_evaluated,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024,2024/montreal,20,4,selected_forecast_frozen,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024,2024/montreal,20,5,outcome_revealed,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024,2024/montreal,20,6,settled_for_next_event,1379c3bccd28a3d02fdd4f7a67264307838bfe4e74e5c58700d7809eff00f76f
2024,2024/barcelona,21,0,legal_information_frozen,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024,2024/barcelona,21,1,both_candidates_fitted,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024,2024/barcelona,21,2,shadows_frozen,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024,2024/barcelona,21,3,prior_gates_evaluated,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024,2024/barcelona,21,4,selected_forecast_frozen,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024,2024/barcelona,21,5,outcome_revealed,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024,2024/barcelona,21,6,settled_for_next_event,fcf9c79fd6104df2fe40a7db887799656731d84ebe334210487261da10f30acf
2024,2024/silverstone,22,0,legal_information_frozen,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024,2024/silverstone,22,1,both_candidates_fitted,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024,2024/silverstone,22,2,shadows_frozen,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024,2024/silverstone,22,3,prior_gates_evaluated,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024,2024/silverstone,22,4,selected_forecast_frozen,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024,2024/silverstone,22,5,outcome_revealed,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024,2024/silverstone,22,6,settled_for_next_event,ea8a2234071aa88f00630a9c8659bcc3440b3965ec0e4ccb318d381b386fd15c
2024,2024/budapest,23,0,legal_information_frozen,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,1,both_candidates_fitted,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,2,shadows_frozen,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,3,prior_gates_evaluated,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,4,selected_forecast_frozen,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,5,outcome_revealed,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/budapest,23,6,settled_for_next_event,32a340235af50648294023c189c653d55fdd55780df110db63bdec7067d924df
2024,2024/zandvoort,24,0,legal_information_frozen,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,1,both_candidates_fitted,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
2024,2024/zandvoort,24,2,shadows_frozen,fb1d72b65cd710c7e0096fe073e888dcc5e87636775c76790acdc89975d2d12e
