test_season,event_key,prior_folds,prior_rows,prior_improvement_sec,history_gate,weighted_selected,selected_mae,rows
2024,2024/sakhir,0,0,,False,False,0.24459895793299252,20
2024,2024/melbourne,1,20,0.0,False,False,0.29100956298810404,19
2024,2024/suzuka,2,39,0.013041754278483962,False,False,0.2253912458363015,20
2024,2024/imola,3,59,0.006881044509421901,False,False,0.44418119270374773,20
2024,2024/monaco,4,79,0.0077239926688047284,False,False,1.5993018769344185,20
2024,2024/montreal,5,99,-0.015211403256887508,False,False,0.5822904029848062,20
2024,2024/barcelona,6,119,0.005745759273395379,True,False,0.30818694420793075,20
2024,2024/silverstone,7,139,0.012077083950578316,True,False,2.6751409114021896,20
2024,2024/budapest,8,159,0.04852725369340403,True,False,0.5583906540661243,20
2024,2024/zandvoort,9,179,0.04321202714948974,True,False,3.8801645970286747,19
2024,2024/monza,10,198,0.28216739307298644,True,True,0.28994844823325083,20
2024,2024/yas-island,11,218,0.25383797846282685,True,True,0.42942044297147586,20
2025,2025/melbourne,0,0,,False,False,0.24198888581519756,19
2025,2025/suzuka,1,19,0.03866913767800366,False,False,0.6047593178276522,20
2025,2025/sakhir,2,39,0.011709644865484155,False,False,0.5684332662975182,20
2025,2025/jeddah,3,59,0.00029366940808932994,False,False,0.34054624076845375,20
2025,2025/imola,4,79,0.005949771272022913,False,False,0.26632169016033663,19
2025,2025/monaco,5,98,0.003232144596702128,False,False,0.6345453319354794,20
2025,2025/barcelona,6,118,0.03056034693654303,True,False,0.39085294025598416,20
2025,2025/montreal,7,138,0.04665728510564703,True,False,0.43595026842187073,20
2025,2025/spielberg,8,158,0.05827185233161854,True,True,0.29668946462826135,20
2025,2025/silverstone,9,178,0.1831524625951057,True,True,0.3608140339028903,20
2025,2025/budapest,10,198,0.16492574882948083,True,True,0.39577614118027926,20
2025,2025/zandvoort,11,218,0.15718027766374545,True,True,0.3350158142382824,19
2025,2025/monza,12,237,0.2218005696786962,True,True,0.2238380862613007,20
2025,2025/baku,13,257,0.20536376508421295,True,True,0.5709085917538017,20
2025,2025/marina-bay,14,277,0.3419929711899659,True,True,0.35422264229019473,20
2025,2025/mexico-city,15,297,0.32402981173605816,True,True,0.3313400507129066,20
2025,2025/las-vegas,16,317,0.30084494354952257,True,True,3.31124032502393,20
2025,2025/yas-island,17,337,0.2771483060208784,True,True,0.2563328739916301,20
