season,event_slug,role,classification,rows,mae_recomputed,included_in_v2
2026,australia,observed_live_policy,excluded_legacy_per_project_identity_audit,19,0.5999148913195883,False
2026,australia,uniform_default_shadow,excluded_legacy_per_project_identity_audit,19,0.5999148913195883,False
2026,australia,season_aware_weighted_candidate_shadow,excluded_legacy_per_project_identity_audit,19,0.49845730426118995,False
2026,great-britain,observed_live_policy,excluded_legacy_per_project_identity_audit,22,0.40344540169929527,False
2026,great-britain,uniform_default_shadow,excluded_legacy_per_project_identity_audit,22,0.40344540169929527,False
2026,great-britain,season_aware_weighted_candidate_shadow,excluded_legacy_per_project_identity_audit,22,0.5046524543867668,False
2026,synthetic-clean-gp,observed_live_policy,excluded_synthetic,4,0.6678393838824042,False
2026,synthetic-clean-gp,uniform_default_shadow,excluded_synthetic,4,0.6678393838824042,False
2026,synthetic-clean-gp,season_aware_weighted_candidate_shadow,excluded_synthetic,4,0.2495028368810301,False
2026,synthetic-clean-gp-rehearsal,observed_live_policy,excluded_synthetic,4,0.6678393838824042,False
2026,synthetic-clean-gp-rehearsal,uniform_default_shadow,excluded_synthetic,4,0.6678393838824042,False
2026,synthetic-clean-gp-rehearsal,season_aware_weighted_candidate_shadow,excluded_synthetic,4,0.2495028368810301,False
2026,synthetic-clean-gp-final,observed_live_policy,excluded_synthetic,4,0.6678393838824042,False
2026,synthetic-clean-gp-final,uniform_default_shadow,excluded_synthetic,4,0.6678393838824042,False
2026,synthetic-clean-gp-final,season_aware_weighted_candidate_shadow,excluded_synthetic,4,0.2495028368810301,False
2026,hungarian-grand-prix,observed_live_policy,stored_monitoring_record_not_independently_recertified_here,21,0.5234100455073292,False
2026,hungarian-grand-prix,uniform_default_shadow,stored_monitoring_record_not_independently_recertified_here,21,0.5234100455073292,False
2026,hungarian-grand-prix,season_aware_weighted_candidate_shadow,stored_monitoring_record_not_independently_recertified_here,21,0.5818630977016811,False
